# tau_s	eta_s	t_dec	visbulknorm
0.447422	0.2237284	155	1.41597393
0.319895	0.2553757	155	1.32314095
1.928137	0.1252732	155	2.18215538
1.986959	0.1723800	155	2.59078163
1.376333	0.1033535	155	1.42551920
1.027206	0.1760168	155	2.21368435
1.960556	0.2142491	155	2.88963425
1.800775	0.2192896	155	2.44798707
0.277489	0.2617698	155	2.78041532
0.335466	0.1077349	155	2.15226583
1.715430	0.0972132	155	0.28872174
1.031808	0.1874554	155	2.70001112
1.387936	0.0983645	155	2.62560952
1.497871	0.1047405	155	0.93655150
0.210096	0.0905935	155	0.83249568
1.635974	0.2501537	155	0.71904823
1.258932	0.1780615	155	0.35076925
0.541352	0.2155506	155	2.74206186
1.043328	0.2269381	155	1.75927222
0.663292	0.0916531	155	2.97670817
1.729935	0.2416277	155	2.08724401
1.179997	0.2019816	155	2.93626187
1.550465	0.1261673	155	2.68585101
0.607230	0.2656351	155	2.72510350
0.919902	0.1792430	155	1.61298388
0.926336	0.1390078	155	0.37246044
1.654301	0.2683391	155	0.16012818
1.934546	0.1503410	155	1.47623130
0.598722	0.2323605	155	2.03541389
0.254255	0.1282510	155	1.75753896
1.696056	0.2435895	155	0.17152297
1.358727	0.2732401	155	2.42394920
0.792417	0.1011198	155	1.82892769
1.947125	0.1323508	155	0.69615358
0.596773	0.0961883	155	0.88923401
0.854700	0.2124834	155	2.28774847
0.986167	0.1716871	155	0.79955083
1.343380	0.1380875	155	1.29304954
1.887274	0.1322989	155	1.16645155
0.568902	0.2238771	155	1.18738259
0.495541	0.1596761	155	0.78978465
0.615500	0.2280409	155	1.63021475
0.750154	0.2569684	155	0.89672428
0.646877	0.1733178	155	1.98858192
1.085890	0.2111806	155	1.09185991
1.275507	0.2681735	155	0.23699044
0.120493	0.1551129	155	1.37336035
0.722799	0.1294148	155	0.87256827
0.476761	0.1215736	155	2.15726963
0.584284	0.2579727	155	2.21572190
0.743551	0.1178618	155	0.74187421
0.891774	0.1484532	155	0.77353854
0.326825	0.1836218	155	0.80898112
0.171614	0.2037246	155	2.67057914
0.460988	0.0822467	155	0.56798236
1.509304	0.1702073	155	1.02660471
1.780232	0.1149464	155	1.55650396
1.952291	0.1311175	155	0.03123855
0.306015	0.1477000	155	0.98411380
0.220966	0.0949250	155	0.68447572
1.204026	0.2752816	155	0.52582193
1.366862	0.2350987	155	0.22396117
1.185175	0.2754731	155	1.24831479
0.960981	0.0926783	155	0.35956949
1.832708	0.1336781	155	0.11567222
1.866701	0.1708869	155	2.65390726
1.456375	0.2623269	155	2.30667896
1.628239	0.2662936	155	0.32637514
0.410228	0.2228984	155	2.46004468
0.391027	0.1124585	155	1.86155951
1.842505	0.1531164	155	0.19253208
1.821092	0.1107196	155	1.74284557
0.148865	0.2635446	155	2.00201153
1.253992	0.1243720	155	2.91871772
0.231640	0.2797119	155	1.36954788
0.786263	0.0854233	155	0.26992526
1.995921	0.1605421	155	2.14031719
0.626029	0.2012847	155	2.41061495
0.503292	0.1221913	155	2.75357476
0.269397	0.2492814	155	2.71861724
1.707108	0.1364227	155	2.99436836
0.635947	0.1273147	155	0.07961559
1.619743	0.2775095	155	1.20720710
0.782600	0.1516025	155	1.81971844
1.312409	0.1765780	155	0.20565368
0.878274	0.2074838	155	0.97048999
0.339245	0.0846457	155	0.26846778
1.124665	0.1159338	155	0.71103540
0.381226	0.1427861	155	0.47539444
0.439321	0.2382003	155	2.79539615
1.600820	0.2067734	155	1.44931900
1.302446	0.2164976	155	1.91599378
0.827888	0.1819393	155	0.44257599
0.246295	0.0964642	155	1.52540565
1.067691	0.2401822	155	2.24598184
1.521307	0.2296188	155	0.54130443
1.326849	0.1161767	155	2.53135867
1.301993	0.2091784	155	1.23654222
1.230747	0.2064848	155	0.22194441
0.238279	0.1988038	155	2.25235584
0.218197	0.2425624	155	2.49298465
1.444597	0.2303863	155	0.40079494
1.434373	0.2215620	155	1.81466068
1.678754	0.2460890	155	2.90272948
0.352535	0.2008897	155	2.80958179
0.822630	0.2181032	155	2.95334164
1.248714	0.2672376	155	0.99198033
1.412749	0.1686718	155	2.77712603
1.970501	0.1462218	155	0.43321346
1.293864	0.0988022	155	0.86110019
0.728253	0.1086869	155	2.19605036
1.856325	0.1372737	155	2.97512565
0.373978	0.2261730	155	0.52773027
1.488211	0.0898180	155	1.06134085
1.981604	0.2783503	155	2.84252109
0.772974	0.2466547	155	2.50056178
1.137364	0.1890946	155	0.94865312
0.699723	0.1499966	155	1.01017183
0.765265	0.2187756	155	2.34481971
1.418144	0.1419261	155	1.03344472
0.687744	0.2365175	155	0.00296607
1.719722	0.0801497	155	1.40574318
0.492749	0.1667012	155	0.61568347
1.544005	0.1210619	155	2.27993992
1.471844	0.2319684	155	1.11770078
1.051843	0.1544158	155	0.76936288
0.166434	0.1958510	155	1.45736607
1.686616	0.1772029	155	1.50136131
1.013368	0.1802556	155	0.10191480
1.589726	0.0870096	155	2.38188211
0.111846	0.2606686	155	2.60706983
0.880911	0.2386269	155	1.08432349
0.894976	0.2538261	155	0.01936386
1.584231	0.1524224	155	2.81391166
0.383695	0.0815217	155	1.25616330
0.871048	0.1623738	155	1.89118936
1.759376	0.1637096	155	0.45037879
1.272162	0.2359112	155	2.26569792
1.347640	0.1097914	155	1.97271541
1.403199	0.2112522	155	0.62792023
1.173073	0.2174295	155	2.23126680
1.786863	0.1980370	155	2.06081246
1.223402	0.1260325	155	1.69880099
0.537430	0.0855339	155	1.76957516
0.154582	0.1193609	155	0.58943163
1.612123	0.2052027	155	1.87714890
1.430877	0.2533417	155	1.42006508
1.987649	0.1794858	155	2.97995029
1.045742	0.2667194	155	2.62283665
1.761742	0.2137984	155	2.80304822
1.119523	0.1342738	155	2.55642996
0.852089	0.2311374	155	2.00711536
1.372792	0.2056666	155	2.60788614
1.691335	0.2407269	155	0.06943679
1.003978	0.2464995	155	2.25371831
0.180448	0.2547021	155	2.51161181
1.080639	0.2598160	155	1.42840625
1.582302	0.2446803	155	0.12698782
1.176455	0.1839248	155	2.09178622
0.339783	0.2336839	155	0.81215300
1.625498	0.1349297	155	1.54860570
1.681999	0.1883116	155	1.88498728
1.807962	0.2227440	155	2.49767557
1.664509	0.2218652	155	2.69768498
1.466382	0.1770656	155	2.46975777
1.782135	0.2340761	155	2.65627438
1.558972	0.2565145	155	2.30531303
0.516517	0.0812156	155	0.82443776
0.623130	0.2483144	155	1.62566617
1.128015	0.1120068	155	2.48967144
0.648356	0.1690711	155	1.45327813
1.455314	0.2534765	155	1.80747404
1.676975	0.2700105	155	1.93212580
0.906908	0.2578618	155	2.64403552
1.020615	0.1672792	155	0.78281608
1.244364	0.0901199	155	2.52445605
1.323502	0.2171800	155	0.47914249
0.264315	0.2427131	155	0.77229368
1.775637	0.1051122	155	1.85832475
1.697775	0.1492685	155	1.33641815
0.747420	0.0928559	155	2.60404512
0.589619	0.2650499	155	2.84817501
0.946397	0.1882001	155	2.66773304
1.748643	0.0903028	155	0.89640397
1.905241	0.1206511	155	1.30820537
1.789081	0.1169561	155	1.06585229
0.666216	0.1643454	155	2.05854758
0.775297	0.1984503	155	0.45343061
1.646463	0.0868195	155	0.37510125
1.182148	0.1293978	155	0.91862889
0.756840	0.1553554	155	2.95640651
1.973317	0.1859701	155	1.24126846
1.857876	0.1838311	155	2.15599842
1.127744	0.1721474	155	1.91179790
1.310704	0.2755937	155	1.85617845
0.645000	0.1375025	155	0.55522485
0.196535	0.2543292	155	0.42673256
1.225118	0.2255374	155	0.74000507
0.163804	0.2674624	155	0.78539040
0.763029	0.1816593	155	1.04635587
0.458782	0.1001446	155	1.13081567
0.975111	0.2727950	155	0.86423388
1.957385	0.1749435	155	2.07801198
1.756370	0.2436728	155	2.18492787
1.483837	0.1351247	155	1.30572314
1.880336	0.1401326	155	0.30293211
1.065053	0.1268901	155	0.84491262
0.292795	0.1620583	155	0.67056860
0.523814	0.2126265	155	0.83736937
0.629688	0.1573504	155	0.71562084
1.984625	0.2567414	155	1.63529640
1.135800	0.1018438	155	2.89440373
1.655439	0.1355037	155	2.90577363
1.251698	0.1564639	155	2.45609371
1.914225	0.2583803	155	1.81887330
0.623268	0.1907958	155	2.86233437
0.546335	0.2550250	155	0.90004260
0.260781	0.1707089	155	0.70580196
0.821651	0.1758391	155	1.23061129
1.361144	0.1312373	155	0.25450556
0.818537	0.2328713	155	1.13864000
1.212188	0.1227423	155	1.98990050
1.777572	0.2795865	155	2.09182452
1.237647	0.1321028	155	2.64866957
0.988102	0.1679535	155	2.84697495
0.720369	0.1471957	155	1.14560534
1.507230	0.1036119	155	1.40266099
1.010923	0.1080543	155	0.97966980
0.505204	0.1392880	155	2.22300239
0.601401	0.1461653	155	2.86533203
0.594835	0.1532611	155	2.29208833
0.934979	0.2653023	155	0.63928034
1.093949	0.0860303	155	1.32118920
1.992192	0.1800015	155	0.35321767
0.366274	0.2665107	155	1.56867514
0.473521	0.2558607	155	2.98770664
0.609766	0.1157009	155	1.09911807
0.156229	0.1745266	155	2.77794761
1.871555	0.2744011	155	0.44633375
0.604896	0.1403100	155	0.80405512
1.496793	0.2075565	155	0.08819290
1.104720	0.1856726	155	2.87578306
1.333577	0.0802959	155	0.52177904
0.253556	0.2050094	155	2.20592926
1.938588	0.2733768	155	0.90404582
0.113505	0.2285719	155	1.58545575
1.510983	0.2630146	155	0.24175363
0.330583	0.0835998	155	0.02066696
1.538600	0.1106170	155	2.22709534
0.135001	0.2463734	155	0.05282952
1.246884	0.1187466	155	1.81175815
1.679750	0.1359796	155	2.49524650
0.631418	0.1525283	155	2.41241688
1.292021	0.2500258	155	1.08830868
1.499352	0.1044648	155	2.54994054
1.772270	0.2472994	155	2.21126944
0.787747	0.0971691	155	2.64246556
0.808448	0.2680012	155	0.84212109
1.572168	0.1546204	155	0.36702122
0.358207	0.2391996	155	0.40913928
1.885496	0.1949079	155	2.82057048
0.977270	0.0967950	155	1.38453723
0.809094	0.1912723	155	2.72275458
1.613672	0.2016951	155	1.65090642
0.193746	0.1201590	155	2.38811786
0.258309	0.1334166	155	0.14726559
0.569944	0.0921619	155	0.24953268
0.481859	0.2505651	155	2.50750936
0.513963	0.2660303	155	1.66863968
0.216594	0.1225711	155	0.60158922
1.719971	0.1662156	155	0.80063593
1.439124	0.2786024	155	0.65551037
0.678655	0.0842879	155	2.79071148
0.140781	0.1185325	155	2.11396109
0.735033	0.1435822	155	0.06337890
0.283738	0.1191761	155	0.57996852
1.473461	0.1468469	155	0.95440119
1.586457	0.0995074	155	0.58816853
0.768684	0.2247036	155	0.29048649
1.083555	0.2122241	155	2.16904628
0.388122	0.1102933	155	2.34935630
1.149391	0.1307068	155	1.98192290
1.944946	0.2233017	155	1.05476875
0.754876	0.2604978	155	1.55405314
0.455095	0.0915021	155	0.75886871
0.393077	0.1146021	155	2.91216290
1.007831	0.2780707	155	0.56212489
0.208893	0.2120269	155	2.15025934
0.428672	0.1330522	155	0.46257638
1.459706	0.2411366	155	2.29938372
1.353856	0.1264510	155	1.43297910
0.868985	0.1571482	155	1.28385250
0.494207	0.1422789	155	2.97272541
0.832317	0.2029291	155	1.97943976
1.836857	0.2036204	155	0.79421322
0.691239	0.1181494	155	1.87088546
1.268556	0.2014790	155	2.81819642
1.273071	0.2592114	155	2.41736911
0.578787	0.0957382	155	1.21442784
0.462530	0.2723486	155	2.74491760
1.802103	0.2513278	155	0.93293549
1.926609	0.1807068	155	0.15645109
0.377183	0.2540673	155	0.83017243
1.745649	0.1833252	155	2.68820165
1.441827	0.1844446	155	2.88312354
0.404575	0.2373512	155	0.43844887
1.754360	0.0930972	155	2.59804828
0.408040	0.2000535	155	0.17625024
0.500904	0.0852132	155	1.09423579
1.240703	0.1893252	155	2.11857090
1.567556	0.2343211	155	1.51080644
0.881537	0.0935061	155	0.48773626
1.229319	0.1565972	155	2.35900726
0.228642	0.2239470	155	0.19839176
1.591714	0.2377410	155	0.63378932
1.578469	0.1414009	155	0.07772293
1.617292	0.1013433	155	2.31619189
1.219261	0.2114790	155	1.52273405
1.597448	0.1448835	155	2.15929598
0.683297	0.2099261	155	1.15907572
1.602450	0.1677448	155	2.47901470
1.877416	0.2083535	155	2.36632985
1.305448	0.1249066	155	1.93729899
1.350032	0.1388565	155	0.31957126
0.717588	0.1638057	155	1.19740197
1.630217	0.1962847	155	1.95044184
0.741730	0.0830358	155	1.01124090
1.089792	0.2250756	155	1.31605905
1.320298	0.1326016	155	1.56192438
0.573382	0.0821168	155	1.84078331
0.897362	0.1466013	155	1.25876852
1.109500	0.0843386	155	1.74450658
0.417806	0.2378979	155	0.04459507
1.477522	0.0945271	155	0.50112214
0.600872	0.1133917	155	2.17629776
0.146345	0.2070783	155	0.07166120
1.953685	0.2715637	155	1.61731837
0.119645	0.1444373	155	2.92772467
1.367341	0.0954411	155	2.37700337
0.141869	0.2423980	155	2.36787955
0.449010	0.1783783	155	1.52698044
1.307224	0.1624306	155	0.21764527
1.222222	0.1996791	155	1.37783153
1.919009	0.0910531	155	2.52800837
0.710698	0.1922090	155	1.44071092
0.246732	0.1937603	155	0.96417196
0.668424	0.1239503	155	0.23366798
1.977727	0.1528441	155	2.43578535
1.034290	0.2495288	155	2.96256163
0.883631	0.2197723	155	1.79298843
1.165622	0.1664112	155	0.16415112
0.275124	0.2150130	155	0.10620147
1.844175	0.1274767	155	1.70572411
0.400654	0.2191270	155	0.66008227
1.849482	0.2217762	155	1.97141277
1.154652	0.1763490	155	2.54278858
0.791105	0.0951177	155	1.29636300
1.709438	0.1615574	155	2.71338287
1.427963	0.2271869	155	2.26227215
0.920858	0.1517910	155	0.71247526
1.405326	0.0896129	155	0.68995161
1.818233	0.2190274	155	0.32250326
1.532975	0.2729759	155	2.84119540
0.552665	0.1699659	155	1.44600981
1.422829	0.2267644	155	0.22842460
0.305885	0.1025306	155	1.39123760
1.446685	0.2278074	155	1.07726324
1.899350	0.1964401	155	1.34799420
