# tau_s	eta_s	t_dec	visbulknorm
2.039061	0.085050832	155	1.20274558
0.251563	0.085834159	155	1.22526483
1.950583	0.170268740	155	0.81533298
1.993520	0.182548256	155	1.98521397
0.286507	0.197233715	155	0.47261784
0.777799	0.050066620	155	2.01713572
2.342355	0.205519372	155	2.61925091
2.849311	0.143031604	155	2.82704086
1.206909	0.140303914	155	0.70709946
1.461475	0.035376441	155	0.02489564
0.565022	0.162633773	155	0.42443037
2.281579	0.131670603	155	2.39957148
1.378650	0.114380988	155	2.93365572
1.263206	0.180405438	155	2.32731217
1.866334	0.036258044	155	1.41075491
1.414797	0.130861537	155	1.64665242
1.584537	0.060617757	155	1.57456012
1.622820	0.190014948	155	0.57368704
0.330938	0.097302667	155	0.53368915
1.835317	0.117550091	155	1.85221376
2.166162	0.104923474	155	1.32485885
0.898447	0.045861593	155	0.86438248
2.510206	0.194151528	155	2.70405617
2.627211	0.020118122	155	2.86049904
2.136022	0.202068323	155	1.38606160
1.659201	0.066153557	155	1.03878497
1.067153	0.209196299	155	1.10519137
1.134355	0.175422136	155	2.44059910
2.394580	0.046775793	155	1.48174936
0.700386	0.157922660	155	0.63811830
2.720187	0.008279350	155	2.79214258
0.753639	0.166388670	155	0.70269289
2.799662	0.191713596	155	1.27328938
0.976396	0.146585300	155	0.97281889
2.863589	0.100293773	155	2.99253381
2.215832	0.031786268	155	2.48669928
0.216760	0.091270299	155	2.72153678
2.323165	0.015405598	155	0.89180718
0.534013	0.076600171	155	2.29521689
1.321853	0.137302944	155	0.10954013
1.924186	0.186301009	155	0.21316073
0.392698	0.058126728	155	1.95685772
0.885213	0.074570869	155	2.65925512
2.476594	0.105502758	155	0.31348164
2.763086	0.018995737	155	2.55447889
1.513241	0.124540451	155	1.90257072
1.760380	0.149530835	155	1.51906489
0.456425	0.064665313	155	0.25941672
2.094809	0.054486675	155	1.76719804
0.972516	0.151640919	155	0.37830807
1.029761	0.156077069	155	0.98890570
0.841061	0.079504846	155	0.79315668
1.154139	0.121312664	155	2.17312298
0.663459	0.042265738	155	2.23282528
1.690848	0.109811805	155	1.60535160
0.164394	0.004053457	155	1.12694798
0.111980	0.000990262	155	2.11766916
1.362444	0.094311311	155	1.71021583
1.771007	0.172444135	155	0.08495424
2.442832	0.028297052	155	1.79682699
2.679660	0.125505375	155	0.33544898
0.412446	0.023580484	155	2.35325835
1.335223	0.092557231	155	1.31469640
0.576044	0.105913424	155	0.27710235
0.169094	0.184540217	155	0.51025757
1.787415	0.072308351	155	0.07424204
1.508614	0.005039694	155	1.91763174
0.818621	0.134469915	155	0.60737345
2.376805	0.155454990	155	1.50830830
2.167893	0.158447339	155	0.76580332
1.355130	0.069191967	155	0.61087884
0.478661	0.167885009	155	1.34048529
1.020605	0.200412001	155	2.27259583
0.319430	0.070835275	155	0.24380145
2.332443	0.178949405	155	1.21592223
2.597925	0.098977986	155	2.68309277
2.770602	0.165034628	155	2.82414743
2.728267	0.068048513	155	1.01491923
1.042727	0.199252141	155	1.30112551
1.666875	0.128742876	155	1.67972397
0.189482	0.084265528	155	0.09700381
2.052096	0.102842871	155	1.78262341
2.755305	0.041656303	155	2.35597521
0.297179	0.207548209	155	0.35590207
1.221392	0.183701034	155	2.13676029
2.275253	0.051674560	155	0.96297249
1.471268	0.178300997	155	1.83541141
0.647400	0.017839857	155	1.46950598
2.868704	0.162251996	155	1.64010558
0.781641	0.127727462	155	1.00375019
2.289193	0.157070013	155	2.96869622
2.190509	0.194819834	155	2.40465406
1.819608	0.174158949	155	1.16150792
0.736851	0.044046690	155	1.82807772
2.420187	0.160635885	155	2.24272590
0.690423	0.049575354	155	0.68627330
2.498889	0.136594117	155	2.78593029
1.735232	0.055504814	155	2.57661100
0.763703	0.056719004	155	2.53795512
0.866710	0.080673212	155	2.66028558
1.895050	0.089746915	155	1.28796463
2.463052	0.187921544	155	2.01293735
1.182039	0.013069688	155	2.20760748
1.299556	0.018734612	155	2.70813335
1.971350	0.140174535	155	0.92636313
0.346013	0.065572264	155	0.66587300
0.914423	0.045996940	155	2.64643739
0.497854	0.029841951	155	2.85532890
1.882715	0.198136530	155	2.75546283
2.562866	0.090320549	155	0.90634933
1.312022	0.040852947	155	0.58278951
0.942936	0.094942675	155	1.87391357
1.843442	0.116527153	155	1.43784606
2.682794	0.123442405	155	2.87392476
1.742739	0.049153550	155	0.83957938
1.126390	0.204291879	155	0.51891504
0.621937	0.058483353	155	0.74950355
1.240423	0.022559291	155	0.31826245
0.400727	0.098117372	155	1.39943366
0.418097	0.206115204	155	2.94435949
1.394496	0.024136136	155	0.34094989
0.241851	0.208660072	155	0.15032482
2.884958	0.112335649	155	2.98271842
2.076019	0.100999929	155	1.77735642
1.590918	0.163299636	155	2.58290950
2.532562	0.045087916	155	2.61143660
1.456207	0.110284872	155	2.34067155
2.318727	0.125811552	155	2.37126825
1.576054	0.033772465	155	0.49158912
1.782322	0.191997578	155	2.18726577
0.546055	0.121945875	155	1.73478841
2.662305	0.166997711	155	1.56558338
1.497399	0.196044107	155	1.49314826
2.713913	0.103854673	155	1.24308864
2.203211	0.108334529	155	0.06478182
1.548118	0.113336105	155	1.96830859
1.618258	0.143944662	155	1.05127430
2.835219	0.004103148	155	1.52992354
1.930540	0.189034009	155	2.03019090
2.620466	0.083065606	155	0.45443019
1.075152	0.095926043	155	2.50373368
0.521993	0.016173144	155	0.72457319
1.171549	0.079704094	155	0.23025646
0.154573	0.026640623	155	1.14234183
0.703492	0.007949039	155	0.65033278
2.643430	0.190690578	155	1.60992038
1.012016	0.038517894	155	2.73574788
2.152708	0.153982943	155	0.54860451
0.956070	0.010989848	155	0.42104036
2.358257	0.169080943	155	1.93532204
1.644067	0.028907908	155	2.16503697
0.596226	0.136060009	155	1.66377723
2.011059	0.116021699	155	2.05048585
1.680317	0.037322470	155	1.69160889
1.424135	0.118692597	155	1.42258534
0.994518	0.067069007	155	0.96036271
2.106138	0.150244665	155	2.45046853
2.812292	0.203314008	155	0.13986047
0.223407	0.172221999	155	0.88296284
0.284274	0.052982688	155	0.19374680
1.850899	0.009435440	155	1.07272025
2.253446	0.061679116	155	1.88337560
0.466099	0.074649944	155	2.30163036
1.140256	0.032712076	155	0.38850924
0.442708	0.034563138	155	1.08211210
0.852909	0.075487405	155	1.12062486
2.224903	0.078700073	155	0.43426609
1.943921	0.173326247	155	0.80685548
2.581027	0.025564487	155	2.27592944
0.625778	0.185718014	155	1.97507182
1.704562	0.139009808	155	1.71253696
0.381081	0.120121666	155	0.29677576
0.826950	0.020931922	155	0.78071574
1.089154	0.149170748	155	2.12409354
0.893649	0.132115564	155	2.10509620
1.991405	0.147290536	155	0.84944147
0.124396	0.059627101	155	2.07349426
2.027426	0.130149188	155	0.01004885
0.104596	0.141637898	155	2.80512754
0.727085	0.144762380	155	1.23415080
2.526646	0.000795316	155	2.91595939
1.534751	0.181618990	155	2.88810752
2.817896	0.086829711	155	0.03885795
2.128137	0.108081623	155	2.46208369
2.403047	0.014382212	155	2.52029180
2.458739	0.152474888	155	2.43386083
1.281015	0.002844118	155	1.58985997
1.382227	0.176373855	155	1.38169391
0.255759	0.062940746	155	0.16759797
1.202465	0.088361265	155	1.18280635
2.747900	0.198852068	155	2.37464464
0.716033	0.188268532	155	0.65826096
0.228745	0.209178092	155	0.25608443
2.765115	0.113873687	155	1.62651290
0.338645	0.179414023	155	2.56329714
0.810003	0.091886646	155	1.73048658
1.328877	0.203746484	155	2.54863967
2.568312	0.187116823	155	2.91003423
0.581952	0.183339620	155	2.04021270
1.562279	0.063536176	155	1.54310848
2.008201	0.052792222	155	2.67488097
1.542680	0.026959953	155	1.79228318
1.733837	0.173689888	155	2.61417579
0.389610	0.122580327	155	0.30017849
1.483560	0.120243627	155	2.12790814
1.568941	0.021582597	155	0.75359969
2.052504	0.085432402	155	1.94239240
1.157309	0.077706621	155	2.07532101
2.206987	0.176796063	155	0.38324833
1.708453	0.014018182	155	2.48192805
0.559611	0.103383136	155	1.71860701
2.535619	0.120973293	155	0.30750566
0.211217	0.083812453	155	1.22425427
1.216575	0.118337441	155	1.10769164
1.350275	0.093772073	155	0.67110271
1.436551	0.116991847	155	0.85220309
2.402101	0.199547629	155	2.53070136
0.573886	0.126248777	155	1.13602173
2.218204	0.098580343	155	2.76072212
2.266703	0.159082665	155	0.49659487
0.707662	0.107475063	155	0.11954875
1.658572	0.109499823	155	1.19857589
2.716137	0.184875924	155	1.67039162
2.602292	0.141205827	155	1.43037052
2.641507	0.058930063	155	2.85307730
2.784450	0.003423963	155	1.65749323
1.295317	0.062732176	155	1.79978442
1.576623	0.012443576	155	0.50702088
1.986206	0.111575507	155	2.32576050
0.760465	0.003016119	155	0.65229912
0.145842	0.051018156	155	1.95797341
0.931764	0.007529217	155	1.28290844
1.598709	0.064378112	155	1.58474037
2.745897	0.041993330	155	1.55988733
0.110004	0.081435021	155	2.63673058
0.141862	0.118094371	155	0.05050308
0.658539	0.152133868	155	2.33438968
1.184682	0.156369090	155	0.18105488
2.132906	0.057305838	155	1.06937040
1.674493	0.035826716	155	2.83433489
0.787401	0.193821093	155	1.04312980
2.184915	0.020812547	155	1.59597312
0.376960	0.035199486	155	0.48273483
1.594504	0.091821539	155	0.04299504
2.626331	0.057436585	155	0.59979159
2.512585	0.189172276	155	2.17757084
1.196038	0.089154423	155	1.68183348
2.070128	0.181004290	155	0.73650113
0.948172	0.008911805	155	1.48720057
1.520933	0.081087779	155	1.30961381
1.147404	0.082404517	155	0.82097222
0.962245	0.148003079	155	2.58929486
2.776452	0.106549794	155	1.15671878
1.072577	0.200730815	155	1.90707279
1.400126	0.072834236	155	1.17605692
2.365967	0.179679757	155	2.00532346
1.652846	0.111510400	155	2.11113071
0.541037	0.170196914	155	0.91233093
0.915037	0.087160472	155	2.06702153
2.143106	0.161980697	155	0.92000297
0.485084	0.130484859	155	2.86846473
0.997296	0.080078388	155	2.57022926
0.469294	0.116275180	155	1.39413082
1.286513	0.090018657	155	2.42982651
0.246063	0.032990916	155	1.86476817
1.344433	0.118961411	155	1.51412718
2.245079	0.024873651	155	1.14329819
2.264411	0.147129432	155	1.69999199
0.639503	0.067409863	155	2.10140694
1.920165	0.068474174	155	0.41218607
2.559016	0.027785259	155	0.39505521
2.306530	0.172696611	155	1.27112935
1.633957	0.028702884	155	2.46904623
1.748171	0.160870591	155	1.33141749
2.448557	0.040210159	155	2.31849773
1.039609	0.128895992	155	0.57427651
0.236329	0.167639233	155	1.84386405
0.155494	0.136273550	155	0.64331059
1.132226	0.181795571	155	2.39359859
1.368617	0.165301587	155	1.94711763
2.675643	0.114952286	155	2.02580398
1.901136	0.123740778	155	2.36311357
1.775592	0.175971251	155	1.49867993
2.855982	0.110357783	155	1.64128192
1.845114	0.139616247	155	1.34647115
2.412924	0.009224426	155	2.51654883
0.408143	0.030610391	155	0.09277100
0.616978	0.070023271	155	1.58061576
0.988884	0.192804923	155	0.14591102
1.421877	0.201559577	155	0.06022523
2.519407	0.135340786	155	0.13151773
1.429742	0.206642381	155	1.35510947
1.387017	0.023060530	155	0.99802687
2.383896	0.038755558	155	2.88201329
2.692501	0.014770276	155	1.92837807
2.111689	0.066551380	155	0.46524760
0.369132	0.152764582	155	2.94964497
0.731856	0.099971885	155	0.33068250
0.877309	0.045523513	155	0.55181836
0.768964	0.202343287	155	0.95077576
0.611990	0.150914856	155	1.41597393
0.424056	0.184144510	155	1.32314095
2.794097	0.047536813	155	2.18215538
2.880781	0.096998965	155	2.59078163
1.980912	0.024521165	155	1.42551920
1.466408	0.100817686	155	2.21368435
2.841872	0.140961584	155	2.88963425
2.606406	0.146254040	155	2.44798707
0.361562	0.190858282	155	2.78041532
0.447002	0.029121633	155	2.15226583
2.480634	0.018073864	155	0.28872174
1.473191	0.112828222	155	2.70001112
1.998011	0.019282721	155	2.62560952
2.160020	0.025977552	155	0.93655150
0.262247	0.011123136	155	0.83249568
2.363540	0.178661436	155	0.71904823
1.807900	0.102964523	155	0.35076925
0.750414	0.142328145	155	2.74206186
1.490167	0.154285030	155	1.75927222
0.930115	0.012235740	155	2.97670817
2.502010	0.169709057	155	2.08724401
1.691574	0.128080633	155	2.93626187
2.237527	0.048475614	155	2.68585101
0.847497	0.194916816	155	2.72510350
1.308277	0.104205105	155	1.61298388
1.317759	0.061958162	155	0.37246044
2.390548	0.197756080	155	0.16012818
2.803542	0.073858061	155	1.47623130
0.834958	0.159978527	155	2.03541389
0.327323	0.050663510	155	1.75753896
2.452083	0.171769021	155	0.17152297
1.954966	0.202902145	155	2.42394920
1.120403	0.022175744	155	1.82892769
2.822079	0.054968303	155	0.69615358
0.832086	0.016997760	155	0.88923401
1.212190	0.139107610	155	2.28774847
1.405931	0.096271407	155	0.79955083
1.932350	0.060991851	155	1.29304954
2.733878	0.054913862	155	1.16645155
0.791013	0.151070908	155	1.18738259
0.682903	0.083659932	155	0.78978465
0.859685	0.155442993	155	1.63021475
1.058122	0.185816853	155	0.89672428
0.905925	0.097983691	155	1.98858192
1.552891	0.137739656	155	1.09185991
1.832326	0.197582210	155	0.23699044
0.130200	0.078868502	155	1.37336035
1.017810	0.051885565	155	0.87256827
0.655226	0.043652252	155	2.15726963
0.813681	0.186871296	155	2.21572190
1.048390	0.039754851	155	0.74187421
1.266825	0.071875832	155	0.77353854
0.434269	0.108802920	155	0.80898112
0.205537	0.129910841	155	2.67057914
0.631982	0.002359032	155	0.56798236
2.176868	0.094717626	155	1.02660471
2.576131	0.036693698	155	1.55650396
2.829693	0.053673330	155	0.03123855
0.403601	0.071085015	155	0.98411380
0.278266	0.015671266	155	0.68447572
1.726985	0.205045652	155	0.52582193
1.966955	0.162853662	155	0.22396117
1.699205	0.205246763	155	1.24831479
1.368814	0.013312171	155	0.35956949
2.653465	0.056361974	155	0.11567222
2.703559	0.095431200	155	2.65390726
2.098868	0.191443261	155	2.30667896
2.352142	0.195608294	155	0.32637514
0.557179	0.150043340	155	2.46004468
0.528882	0.034081380	155	1.86155951
2.667902	0.076772188	155	0.19253208
2.636347	0.032255596	155	1.74284557
0.172011	0.192721874	155	2.00201153
1.800620	0.046590597	155	2.91871772
0.293996	0.209697482	155	1.36954788
1.111335	0.005694508	155	0.26992526
2.893990	0.084569169	155	2.14031719
0.875200	0.127348949	155	2.41061495
0.694325	0.044300903	155	2.75357476
0.349638	0.177745491	155	2.71861724
2.468369	0.059243855	155	2.99436836
0.889816	0.049680475	155	0.07961559
2.339622	0.207384993	155	1.20720710
1.105937	0.075182638	155	1.81971844
1.886707	0.101406882	155	0.20565368
1.246931	0.133858032	155	0.97048999
0.452571	0.004877952	155	0.26846778
1.610033	0.037730531	155	0.71103540
0.514439	0.065925407	155	0.47539444
0.600052	0.166110323	155	2.79539615
2.311735	0.133112023	155	1.44931900
1.872025	0.143322458	155	1.91599378
1.172677	0.107036292	155	0.44257599
0.315592	0.017287397	155	1.52540565
1.526070	0.168191335	155	2.24598184
2.194557	0.157099791	155	0.54130443
1.907988	0.037985564	155	2.53135867
1.871359	0.135637281	155	1.23654222
1.766365	0.132809062	155	0.22194441
0.303780	0.124743991	155	2.25235584
0.274186	0.170690537	155	2.49298465
2.081512	0.157905576	155	0.40079494
2.066444	0.148640070	155	1.81466068
2.426585	0.174393479	155	2.90272948
0.472157	0.126934224	155	2.80958179
1.164929	0.145008377	155	2.95334164
1.792842	0.196599440	155	0.99198033
2.034577	0.093105440	155	2.77712603
2.856528	0.069532879	155	0.43321346
1.859379	0.019742352	155	0.86110019
1.025847	0.030121276	155	2.19605036
2.688269	0.060137435	155	2.97512565
0.503757	0.153481663	155	0.52773027
2.145785	0.010308937	155	1.06134085
2.872890	0.208267842	155	2.84252109
1.091751	0.174987401	155	2.50056178
1.628747	0.114549314	155	0.94865312
0.983802	0.073496415	155	1.01017183
1.080390	0.145714380	155	2.34481971
2.042529	0.065022402	155	1.03344472
0.966150	0.164343400	155	0.00296607
2.486959	0.000157206	155	1.40574318
0.678788	0.091036226	155	0.61568347
2.228008	0.043114951	155	2.27993992
2.121665	0.159566818	155	1.11770078
1.502716	0.078136613	155	0.76936288
0.197903	0.121643518	155	1.45736607
2.438171	0.102062996	155	1.50136131
1.446016	0.105268425	155	0.10191480
2.295386	0.007360060	155	2.38188211
0.117458	0.189702047	155	2.60706983
1.250816	0.166558268	155	1.08432349
1.271544	0.182517386	155	0.01936386
2.287287	0.076043561	155	2.81391166
0.518077	0.001597824	155	1.25616330
1.236281	0.086492461	155	1.89118936
2.545397	0.087895043	155	0.45037879
1.827397	0.163706727	155	2.26569792
1.938627	0.031280940	155	1.97271541
2.020504	0.137814849	155	0.62792023
1.681370	0.144301009	155	2.23126680
2.585904	0.123938826	155	2.06081246
1.755539	0.048334076	155	1.69880099
0.744634	0.005810566	155	1.76957516
0.180437	0.041328992	155	0.58943163
2.328392	0.131462846	155	1.87714890
2.061292	0.182008746	155	1.42006508
2.881798	0.104460040	155	2.97995029
1.493725	0.196055365	155	2.62283665
2.548883	0.140488355	155	2.80304822
1.602455	0.056987529	155	2.55642996
1.208342	0.158694276	155	2.00711536
1.975693	0.131949938	155	2.60788614
2.445125	0.168763246	155	0.06943679
1.432177	0.174824467	155	2.25371831
0.218555	0.183437255	155	2.51161181
1.545153	0.188806783	155	1.42840625
2.284446	0.172914353	155	0.12698782
1.686355	0.109121085	155	2.09178622
0.453365	0.161368084	155	0.81215300
2.348102	0.057676147	155	1.54860570
2.431367	0.113727182	155	1.88498728
2.616997	0.149881226	155	2.49767557
2.405593	0.148958424	155	2.69768498
2.113615	0.101918853	155	2.46975777
2.578936	0.161779859	155	2.65627438
2.250063	0.185340201	155	2.30531303
0.713815	0.001276339	155	0.82443776
0.870928	0.176730138	155	1.62566617
1.614970	0.033607119	155	2.48967144
0.908103	0.093524606	155	1.45327813
2.097304	0.182150342	155	1.80747404
2.423963	0.199511021	155	1.93212580
1.289128	0.186754857	155	2.64403552
1.456696	0.091643125	155	0.78281608
1.786432	0.010625843	155	2.52445605
1.903055	0.144038969	155	0.47914249
0.342148	0.170848719	155	0.77229368
2.569360	0.026367849	155	1.85832475
2.454616	0.072731927	155	1.33641815
1.054092	0.013498694	155	2.60404512
0.821544	0.194302413	155	2.84817501
1.347321	0.113610067	155	2.66773304
2.529578	0.010817953	155	0.89640397
2.760355	0.042683639	155	1.30820537
2.589172	0.038803893	155	1.06585229
0.934424	0.088562656	155	2.05854758
1.095175	0.124372775	155	0.45343061
2.378999	0.007160460	155	0.37510125
1.694744	0.051867653	155	0.91862889
1.067974	0.079123212	155	2.95640651
2.860677	0.111268603	155	1.24126846
2.690554	0.109022705	155	2.15599842
1.614570	0.096754793	155	1.91179790
1.884196	0.205373375	155	1.85617845
0.903158	0.060377581	155	0.55522485
0.242263	0.183045656	155	0.42673256
1.758069	0.152814303	155	0.74000507
0.194026	0.196835514	155	0.78539040
1.077096	0.106742270	155	1.04635587
0.628731	0.021151862	155	1.13081567
1.389637	0.202434727	155	0.86423388
2.837199	0.099690690	155	2.07801198
2.540966	0.171856436	155	2.18492787
2.139339	0.057880923	155	1.30572314
2.723653	0.063139212	155	0.30293211
1.522183	0.049234586	155	0.84491262
0.384119	0.086161224	155	0.67056860
0.724568	0.139257793	155	0.83736937
0.880592	0.081217894	155	0.71562084
2.877342	0.185578495	155	1.63529640
1.626443	0.022935979	155	2.89440373
2.392226	0.058278870	155	2.90577363
1.797239	0.080287115	155	2.45609371
2.773594	0.187299279	155	1.81887330
0.871132	0.116335566	155	2.86233437
0.757757	0.183776300	155	0.90004260
0.336940	0.095244307	155	0.70580196
1.163485	0.100631004	155	1.23061129
1.958528	0.053799182	155	0.25450556
1.158897	0.160514904	155	1.13864000
1.739015	0.044879407	155	1.98990050
2.572211	0.209565774	155	2.09182452
1.776533	0.054707992	155	2.64866957
1.408782	0.092351197	155	2.84697495
1.014229	0.070555512	155	1.14560534
2.173812	0.024792450	155	1.40266099
1.442412	0.029457033	155	0.97966980
0.697143	0.062252386	155	2.22300239
0.838906	0.069473564	155	2.86533203
0.829231	0.076924161	155	2.29208833
1.330496	0.194567464	155	0.63928034
1.564767	0.006331832	155	1.32118920
2.888493	0.105001573	155	0.35321767
0.492403	0.195836262	155	1.56867514
0.650452	0.184653772	155	2.98770664
0.851235	0.037485977	155	1.09911807
0.182864	0.099252917	155	2.77794761
2.710712	0.204121108	155	0.44633375
0.844057	0.063325503	155	0.80405512
2.158431	0.133934342	155	0.08819290
1.580639	0.110956228	155	2.87578306
1.917903	0.000310680	155	0.52177904
0.326293	0.131259862	155	2.20592926
2.809498	0.203045636	155	0.90404582
0.119902	0.156000536	155	1.58545575
2.179344	0.192165348	155	0.24175363
0.439806	0.003779777	155	0.02066696
2.220043	0.032147902	155	2.22709534
0.151580	0.174692068	155	0.05282952
1.790144	0.040683903	155	1.81175815
2.428053	0.058778581	155	2.49524650
0.883142	0.076154734	155	2.41241688
1.856662	0.178527127	155	1.08830868
2.162203	0.025688088	155	2.54994054
2.564398	0.175664356	155	2.21126944
1.113522	0.018027566	155	2.64246556
1.144028	0.197401235	155	0.84212109
2.269511	0.078351428	155	0.36702122
0.480516	0.167159613	155	0.40913928
2.731258	0.120653273	155	2.82057048
1.392818	0.017634791	155	1.38453723
1.144980	0.116835954	155	2.72275458
2.330675	0.127779868	155	1.65090642
0.238152	0.042166978	155	2.38811786
0.333297	0.056087480	155	0.14726559
0.792549	0.012770030	155	0.24953268
0.662740	0.179093314	155	2.50750936
0.710050	0.195331844	155	1.66863968
0.271823	0.044699665	155	0.60158922
2.487326	0.090526331	155	0.80063593
2.073446	0.208532481	155	0.65551037
0.952755	0.004502250	155	2.79071148
0.160098	0.040459140	155	2.11396109
1.035837	0.066761307	155	0.06337890
0.370771	0.041134853	155	0.57996852
2.124047	0.070189278	155	0.95440119
2.290568	0.020482810	155	0.58816853
1.085428	0.151938753	155	0.29048649
1.549449	0.138835293	155	2.16904628
0.524601	0.031807950	155	2.34935630
1.646471	0.053242132	155	1.98192290
2.818867	0.150466791	155	1.05476875
1.065080	0.189522660	155	1.55405314
0.623297	0.012077217	155	0.75886871
0.531904	0.036332188	155	2.91216290
1.437857	0.207974211	155	0.56212489
0.260473	0.138628210	155	2.15025934
0.584359	0.055704778	155	0.46257638
2.103778	0.169193391	155	2.29938372
1.947788	0.048773559	155	1.43297910
1.233241	0.081005629	155	1.28385250
0.680936	0.065392871	155	2.97272541
1.179204	0.129075538	155	1.97943976
2.659578	0.129801378	155	0.79421322
0.971299	0.040056838	155	1.87088546
1.822082	0.127552943	155	2.81819642
1.828736	0.188172017	155	2.41736911
0.805581	0.016525058	155	1.21442784
0.634255	0.201966001	155	2.74491760
2.608363	0.179894212	155	0.93293549
2.791846	0.105742176	155	0.15645109
0.508480	0.182770663	155	0.83017243
2.525167	0.108491501	155	2.68820165
2.077429	0.109666861	155	2.88312354
0.548847	0.165218763	155	0.43844887
2.538005	0.013752102	155	2.59804828
0.553953	0.126056150	155	0.17625024
0.690806	0.005473852	155	1.09423579
1.781036	0.114791502	155	2.11857090
2.262715	0.162037161	155	1.51080644
1.251738	0.014181393	155	0.48773626
1.764259	0.080427012	155	2.35900726
0.289578	0.151144397	155	0.19839176
2.298316	0.165628023	155	0.63378932
2.278797	0.064470974	155	0.07772293
2.336009	0.022410470	155	2.31619189
1.749437	0.138052956	155	1.52273405
2.306766	0.068127714	155	2.15929598
0.959596	0.136422454	155	1.15907572
2.314137	0.092132051	155	2.47901470
2.719349	0.134771211	155	2.36632985
1.876450	0.047151906	155	1.93729899
1.942152	0.061799332	155	0.31957126
1.010130	0.087995970	155	1.19740197
2.355056	0.122098967	155	1.95044184
1.045708	0.003187600	155	1.01124090
1.558640	0.152329367	155	1.31605905
1.898335	0.055231705	155	1.56192438
0.797615	0.002222645	155	1.84078331
1.275060	0.069931327	155	1.25876852
1.587684	0.004555491	155	1.74450658
0.568346	0.165792805	155	0.04459507
2.130032	0.015253450	155	0.50112214
0.838127	0.035061300	155	2.17629776
0.168297	0.133432260	155	0.07166120
2.831747	0.201141883	155	1.61731837
0.128951	0.067659183	155	2.92772467
1.967660	0.016213194	155	2.37700337
0.161702	0.170517876	155	2.36787955
0.614331	0.103297212	155	1.52698044
1.879067	0.086552130	155	0.21764527
1.753801	0.125663027	155	1.37783153
2.780645	0.011605714	155	2.52800837
0.999976	0.117819462	155	1.44071092
0.316237	0.119448287	155	0.96417196
0.937677	0.046147804	155	0.23366798
2.867177	0.076486316	155	2.43578535
1.476848	0.178005275	155	2.96256163
1.254825	0.146760953	155	1.79298843
1.670390	0.090731800	155	0.16415112
0.358077	0.141763664	155	0.10620147
2.670363	0.049850507	155	1.70572411
0.543069	0.146083330	155	0.66008227
2.678183	0.148864991	155	1.97141277
1.654224	0.101166408	155	2.54278858
1.118471	0.015873544	155	1.29636300
2.471803	0.085635250	155	2.71338287
2.056998	0.154546257	155	2.26227215
1.309685	0.075380570	155	0.71247526
2.023638	0.010093550	155	0.68995161
2.632132	0.145978737	155	0.32250326
2.211752	0.202624705	155	2.84119540
0.767086	0.094464231	155	1.44600981
2.049432	0.154102569	155	0.22842460
0.403409	0.023657182	155	1.39123760
2.084589	0.155197725	155	1.07726324
2.751673	0.122262134	155	1.34799420
